Time: 0.0110 

letter   Ocurrences   
E        42594       
         36848       
N        23949       
R        18750       
T        17896       
S        17106       
I        15055       
A        14657       
H        13698       
L        12779       
G        10834       
C        8548        
U        7678        
D        6896        
M        6287        
B        6107        
O        5637        
F        4416        
K        4227        
W        3751        
Z        2931        
Ü        2221        
P        2174        
V        2003        
Ä        1766        
Ö        1076        
Y        922         
J        636         
X        57          
Q        31          
È        3           
É        3           
Ô        2           
Ç        2           
