Time: 0.0140 

letter   Ocurrences   
         40476       
A        36868       
I        33876       
T        28921       
N        26564       
E        22863       
S        22823       
L        17482       
U        16484       
K        16275       
Ä        15220       
O        13754       
M        8968        
R        8740        
V        7854        
H        7814        
Y        6601        
P        5271        
D        3346        
J        3097        
Ö        1090        
G        583         
B        529         
C        153         
W        131         
F        130         
X        40          
Z        21          
Q        8           
È        3           
Ô        2           
Ç        2           
É        1           
