Time: 0.0100 

letter   Ocurrences   
E        35080       
         31457       
N        17327       
R        13060       
O        12924       
A        12097       
I        11695       
D        10118       
T        10095       
L        9860        
G        8276        
S        7299        
H        5571        
K        5045        
M        4174        
V        4169        
U        3736        
W        3684        
Z        3506        
C        3200        
B        3059        
J        2996        
P        2783        
F        1607        
Y        787         
Û        394         
Ê        231         
É        98          
Ó        76          
X        75          
Ë        57          
Â        44          
Q        26          
Ï        25          
È        23          
À        21          
Ò        9           
Á        5           
Ö        3           
Ç        2           
Ô        1           
