Time: 0.0110 

letter   Ocurrences   
         38296       
E        30642       
R        20283       
A        18760       
I        18551       
T        17137       
S        17109       
N        15723       
O        14113       
U        12404       
L        9893        
M        8271        
C        7744        
P        7196        
D        6287        
É        4857        
V        4352        
H        3491        
F        3212        
B        3169        
G        2714        
Q        1864        
Y        1329        
X        1211        
J        1126        
È        1021        
Z        676         
Ê        432         
Â        258         
Ç        176         
Î        143         
W        137         
Ô        125         
Û        123         
Ù        111         
À        92          
K        66          
Ï        19          
Ë        8           
