Time: 0.0090 

letter   Ocurrences   
         35266       
E        26108       
A        15057       
R        14816       
S        13736       
N        13685       
I        13656       
O        13554       
T        12854       
L        11901       
D        10624       
H        6472        
U        6444        
C        6053        
G        6009        
M        5571        
Y        4640        
P        4484        
W        3758        
F        3092        
B        2962        
K        2530        
V        2234        
X        448         
Q        311         
J        239         
Z        150         
Æ        4           
É        4           
È        3           
Ç        2           
Ô        1           
