letter   Ocurrences   
         40346       
E        32936       
A        20535       
R        19520       
I        19491       
T        18784       
N        17252       
S        17127       
O        15220       
U        13089       
M        10666       
L        10194       
C        9685        
P        7778        
D        6284        
É        5227        
V        4146        
F        3646        
B        2845        
H        2725        
G        2719        
Q        1517        
X        1142        
È        1043        
J        1023        
Y        698         
Z        565         
Ê        432         
K        400         
1        294         
Â        207         
Î        180         
Ù        167         
Ç        167         
Ô        149         
À        148         
7        129         
Ë        116         
Û        92          
8        90          
3        89          
6        88          
2        87          
4        86          
5        84          
9        80          
0        64          
Ï        24          
W        4           
