letter   Ocurrences   
E        91806       
         63680       
N        55275       
T        42132       
R        39243       
S        37218       
I        36392       
G        28047       
A        25839       
H        23758       
L        20846       
U        19119       
C        14405       
B        13801       
D        12292       
O        11145       
M        11030       
F        10192       
K        7466        
Z        7186        
W        6525        
V        5904        
Ä        5339        
P        3923        
Ü        3701        
Ö        1805        
J        1379        
1        881         
0        591         
8        396         
2        377         
5        349         
9        337         
7        295         
4        287         
3        266         
6        258         
X        172         
Y        143         
Q        134         
É        1           
