letter   Ocurrences   
         68877       
A        53523       
E        43656       
O        42523       
I        39833       
R        31647       
T        28248       
N        27773       
S        25144       
C        19766       
L        18991       
P        14097       
D        13430       
V        12145       
M        11700       
G        10901       
U        10760       
F        5317        
B        4632        
Z        2934        
H        2908        
Q        2404        
Ò        1311        
È        846         
À        804         
Ì        715         
Ù        259         
X        35          
1        32          
7        19          
4        17          
9        16          
2        15          
3        10          
5        9           
J        8           
0        7           
8        6           
6        4           
Ô        3           
W        2           
Í        2           
Ü        1           
K        1           
