Size (kb): 1037.6494140625 
Time: 0.0452 

letter   Ocurrences   
         163278      
E        116759      
R        64941       
T        63837       
S        62639       
A        61038       
I        56722       
O        55029       
L        54217       
N        51257       
D        39704       
U        36064       
C        31076       
P        27479       
M        24516       
H        23396       
G        20572       
F        18529       
Y        16187       
B        15287       
W        13436       
V        10194       
K        9307        
Q        3383        
1        3264        
X        2796        
2        2458        
3        2081        
4        2009        
5        1864        
J        1583        
8        1499        
0        1322        
6        1232        
Z        1202        
7        972         
9        816         
À        103         
É        99          
Ô        25          
Î        19          
Ê        13          
Ē        10          
Â        9           
Ç        9           
Æ        5           
Œ        3           
È        3           
Ü        3           
Û        1           
Á        1           
Ö        1           
