Size (kb): 652.8369140625 
Time: 0.0271 

letter   Ocurrences   
         84633       
E        72506       
R        46904       
S        46052       
I        43628       
A        43203       
T        42535       
N        40115       
O        32477       
U        29768       
L        21496       
C        20504       
P        18563       
M        18501       
D        14825       
É        13520       
V        9360        
G        8560        
F        8222        
B        6660        
H        6374        
Q        4300        
J        2889        
È        2849        
X        2339        
Y        1503        
Z        1039        
Ê        740         
Î        554         
K        543         
Ô        529         
Ç        459         
Â        454         
W        333         
Ï        321         
Ù        316         
Û        185         
À        169         
0        107         
1        71          
2        49          
8        40          
Ë        38          
6        27          
5        26          
4        25          
3        22          
7        21          
9        9           
Æ        3           
Ÿ        1           
