Size (kb): 537.060546875 
Time: 0.0221 

letter   Ocurrences   
E        82590       
         63473       
N        45832       
R        33932       
S        31823       
T        31635       
I        28982       
A        27173       
H        25177       
L        21421       
G        20361       
C        14862       
U        14540       
D        12936       
B        12059       
O        10949       
M        10398       
F        9442        
K        7696        
W        5920        
Z        5733        
P        4206        
Ä        3814        
Ü        3747        
V        3454        
Ö        2167        
J        1082        
0        781         
1        661         
É        387         
2        376         
8        359         
5        295         
Y        265         
6        256         
3        239         
4        211         
7        154         
X        150         
Q        111         
9        106         
Ê        9           
½        9           
Ë        8           
Ï        8           
Ç        2           
¾        2           
Ô        1           
¼        1           
