N Nodes,Vertices,Edges,Attemps,Operations,Time
5,5,1,2,1,0.0000
5,5,2,6,4,0.0001
5,5,5,58,35,0.0006
5,5,7,294,162,0.0026
6,6,1,296,163,0.0000
6,6,3,310,170,0.0001
6,6,7,544,297,0.0026
6,6,11,4458,2344,0.0752
7,7,2,4464,2347,0.0000
7,7,5,4516,2378,0.0005
7,7,10,6398,3401,0.0339
7,7,15,69948,36168,1.9622
8,8,3,69956,36175,0.0001
8,8,7,70182,36302,0.0029
8,8,14,100844,52685,0.9306
8,8,21,4249760,2149836,269.6464
9,9,4,4249784,2149851,0.0003
9,9,9,4250476,2150362,0.0214
9,9,18,4746954,2412505,27.1039
