N Nodes,Vertices,Edges,Attemps,Operations,Time
5,5,1,1,1,0.0000
5,5,2,2,3,0.0000
5,5,5,2,6,0.0000
5,5,7,2,8,0.0001
6,6,1,1,1,0.0000
6,6,3,1,3,0.0000
6,6,7,2,9,0.0001
6,6,11,3,15,0.0001
7,7,2,1,2,0.0000
7,7,5,2,7,0.0000
7,7,10,2,13,0.0001
7,7,15,3,22,0.0001
8,8,3,3,6,0.0000
8,8,7,2,8,0.0000
8,8,14,3,20,0.0001
8,8,21,3,33,0.0002
9,9,4,2,5,0.0000
9,9,9,3,13,0.0001
9,9,18,4,30,0.0002
9,9,27,4,49,0.0003
10,10,5,1,5,0.0000
10,10,11,3,15,0.0001
10,10,22,4,45,0.0002
10,10,33,4,64,0.0004
11,11,6,2,7,0.0000
11,11,13,3,20,0.0001
11,11,27,4,53,0.0003
11,11,41,5,86,0.0005
12,12,8,2,11,0.0001
12,12,16,4,30,0.0002
12,12,33,5,69,0.0004
12,12,49,5,104,0.0006
13,13,9,2,13,0.0001
13,13,19,4,34,0.0002
13,13,39,6,88,0.0005
13,13,58,6,140,0.0009
14,14,11,4,22,0.0001
14,14,22,5,47,0.0002
14,14,45,6,112,0.0006
14,14,68,7,168,0.0012
15,15,13,4,25,0.0001
15,15,26,6,57,0.0003
15,15,52,7,136,0.0008
15,15,78,7,212,0.0016
16,16,15,5,33,0.0002
16,16,30,6,65,0.0004
16,16,60,7,160,0.0010
16,16,90,7,253,0.0020
17,17,17,6,41,0.0002
17,17,34,6,77,0.0004
17,17,68,8,192,0.0012
17,17,102,8,288,0.0023
18,18,19,5,46,0.0002
18,18,38,6,98,0.0005
18,18,76,8,214,0.0013
18,18,114,8,346,0.0028
19,19,21,5,48,0.0002
19,19,42,8,121,0.0006
19,19,85,9,267,0.0018
19,19,128,9,427,0.0036
20,20,23,6,59,0.0003
20,20,47,7,146,0.0007
20,20,95,8,316,0.0022
20,20,142,10,487,0.0043
21,21,26,6,58,0.0003
21,21,52,8,166,0.0008
21,21,105,9,353,0.0026
21,21,157,10,550,0.0050
22,22,28,6,72,0.0003
22,22,57,10,202,0.0011
22,22,115,10,413,0.0031
22,22,173,10,639,0.0059
23,23,31,7,92,0.0004
23,23,63,11,217,0.0011
23,23,126,11,457,0.0035
23,23,189,11,734,0.0071
24,24,34,8,106,0.0005
24,24,69,9,229,0.0012
24,24,138,12,522,0.0043
24,24,207,11,850,0.0082
25,25,37,9,117,0.0005
25,25,75,11,250,0.0014
25,25,150,11,569,0.0046
25,25,225,12,926,0.0093
26,26,40,9,134,0.0006
26,26,81,11,299,0.0017
26,26,162,12,647,0.0052
26,26,243,13,1054,0.0107
27,27,43,10,148,0.0007
27,27,87,12,308,0.0018
27,27,175,12,720,0.0061
27,27,263,13,1196,0.0126
28,28,47,10,168,0.0008
28,28,94,11,349,0.0020
28,28,189,13,801,0.0068
28,28,283,13,1304,0.0140
29,29,50,11,185,0.0008
29,29,101,12,399,0.0023
29,29,203,12,870,0.0077
29,29,304,14,1444,0.0158
30,30,54,13,219,0.0010
30,30,108,12,463,0.0027
30,30,217,15,985,0.0089
30,30,326,14,1611,0.0181
31,31,58,10,219,0.0010
31,31,116,14,515,0.0031
31,31,232,14,1082,0.0098
31,31,348,15,1771,0.0203
32,32,62,13,259,0.0012
32,32,124,13,561,0.0035
32,32,248,15,1222,0.0114
32,32,372,16,1948,0.0232
33,33,66,11,269,0.0013
33,33,132,14,616,0.0038
33,33,264,15,1387,0.0133
33,33,396,16,2190,0.0265
34,34,70,14,319,0.0015
34,34,140,14,655,0.0042
34,34,280,16,1535,0.0150
34,34,420,17,2387,0.0294
35,35,74,13,324,0.0016
35,35,148,16,754,0.0049
35,35,297,16,1611,0.0159
35,35,446,17,2569,0.0324
36,36,78,14,381,0.0018
36,36,157,16,787,0.0051
36,36,315,17,1833,0.0186
36,36,472,18,2823,0.0363
37,37,83,15,407,0.0020
37,37,166,15,858,0.0058
37,37,333,17,1890,0.0194
37,37,499,17,3007,0.0393
38,38,87,15,462,0.0023
38,38,175,17,928,0.0063
38,38,351,18,2086,0.0217
38,38,527,18,3319,0.0443
39,39,92,16,475,0.0024
39,39,185,16,1004,0.0070
39,39,370,17,2254,0.0240
39,39,555,19,3555,0.0482
40,40,97,17,530,0.0026
40,40,195,17,1115,0.0079
40,40,390,18,2448,0.0263
40,40,585,20,3861,0.0538
41,41,102,19,597,0.0030
41,41,205,18,1230,0.0089
41,41,410,18,2620,0.0288
41,41,615,20,4105,0.0584
42,42,107,19,679,0.0035
42,42,215,20,1304,0.0096
42,42,430,20,2856,0.0319
42,42,645,20,4428,0.0640
