N Nodes      Vertices     Edges      Operations      Attempts     Time          Dominant Set
5            2            1          7               4            0.0000        {(2, 3)}
5            4            2          37              23           0.0010        {(2, 3), (0, 1)}
5            5            5          726             519          0.0000        {(2, 3), (1, 4)}
5            5            7          4358            3157         0.0020        {(2, 4), (1, 4)}
6            2            1          4365            3161         0.0000        {(2, 5)}
6            4            3          4464            3226         0.0000        {(2, 5)}
6            5            7          8138            5910         0.0010        {(2, 3), (1, 5)}
6            6            11         102855          80693        0.0522        {(2, 3), (0, 5)}
7            3            2          102887          80713        0.0010        {(5, 6)}
7            6            5          103553          81158        0.0000        {(2, 3), (5, 6)}
7            7            10         146388          114101       0.0231        {(2, 3), (5, 6)}
7            7            15         2330659         1906810      1.3438        {(1, 3), (2, 6), (5, 6)}
8            6            3          2330752         1906867      0.0000        {(2, 3), (1, 6), (0, 5)}
8            6            7          2334561         1909691      0.0020        {(2, 3), (1, 5)}
8            8            14         3383223         2771326      0.6472        {(1, 6), (2, 7), (3, 5)}
8            8            21         207237526       175905346    136.1145        {(2, 4), (5, 6), (0, 6)}
9            5            4          207237797       175905532    0.0000        {(3, 8), (2, 6)}
9            9            9          207257165       175919867    0.0100        {(2, 6), (4, 7), (5, 8)}
9            9            18         228510863       193527958    13.4803        {(1, 6), (3, 5), (4, 8)}
