N Nodes      Vertices     Edges      Operations      Time          Dominant Set
5            5            1          7               0.0000        {(2, 3)}
5            5            2          33              0.0000        {(2, 3), (0, 1)}
5            5            5          677             0.0000        {(2, 3), (1, 4)}
5            5            7          4101            0.0010        {(2, 4), (1, 4)}
6            6            1          4108            0.0000        {(2, 5)}
6            6            3          4203            0.0000        {(2, 5)}
6            6            7          7669            0.0020        {(2, 3), (1, 5)}
6            6            11         99486           0.0512        {(2, 3), (0, 5)}
7            7            2          99517           0.0000        {(5, 6)}
7            7            5          100110          0.0010        {(2, 3), (5, 6)}
7            7            10         140904          0.0231        {(2, 3), (5, 6)}
7            7            15         2273691         1.3771        {(1, 3), (2, 6), (5, 6)}
8            8            3          2273766         0.0000        {(2, 3), (1, 6), (0, 5)}
8            8            7          2277356         0.0020        {(2, 3), (1, 5)}
8            8            14         3298606         0.6584        {(1, 6), (2, 7), (3, 5)}
8            8            21         204653382       132.5073        {(2, 4), (5, 6), (0, 6)}
9            9            4          204653629       0.0000        {(3, 8), (2, 6)}
9            9            9          204671132       0.0110        {(2, 6), (4, 7), (5, 8)}
9            9            18         225369314       13.2589        {(1, 6), (3, 5), (4, 8)}
