N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
5            5            1          2               1               0.0000        {(2, 3)}
5            5            2          4               3               0.0000        {(0, 1), (2, 3)}
5            5            5          52              31              0.0000        {(0, 1), (0, 2)}
5            5            7          236             127             0.0020        {(0, 1), (2, 3)}
6            6            1          2               1               0.0000        {(2, 5)}
6            6            3          14              7               0.0000        {(0, 5)}
6            6            7          234             127             0.0020        {(0, 1), (1, 2)}
6            6            11         3914            2047            0.0432        {(1, 2), (0, 4)}
7            7            2          6               3               0.0000        {(0, 5)}
7            7            5          52              31              0.0000        {(1, 2), (0, 5)}
7            7            10         1882            1023            0.0201        {(0, 2), (3, 5)}
7            7            15         63550           32767           1.0730        {(0, 1), (0, 2), (4, 5)}
8            8            3          8               7               0.0000        {(2, 3), (1, 6), (0, 5)}
8            8            7          226             127             0.0020        {(1, 2), (0, 5)}
8            8            14         30662           16383           0.4587        {(0, 1), (0, 2), (3, 5)}
8            8            21         4148916         2097151         102.3040        {(0, 2), (1, 4), (0, 5)}
9            9            4          24              15              0.0000        {(1, 6), (1, 8)}
9            9            9          692             511             0.0090        {(2, 8), (4, 7), (1, 5)}
9            9            18         496478          262143          11.8738        {(1, 7), (0, 5), (2, 8)}
