N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
5            5            1          1               1               0.0000        {(2, 3)}
5            5            2          3               2               0.0000        {(0, 1), (2, 3)}
5            5            5          6               2               0.0000        {(0, 1), (2, 3)}
5            5            7          8               2               0.0001        {(0, 1), (2, 4)}
6            6            1          1               1               0.0000        {(2, 5)}
6            6            3          3               1               0.0000        {(2, 5)}
6            6            7          9               2               0.0001        {(0, 1), (2, 5)}
6            6            11         15              3               0.0001        {(0, 2), (3, 4), (1, 5)}
7            7            2          2               1               0.0000        {(5, 6)}
7            7            5          7               2               0.0000        {(1, 2), (5, 6)}
7            7            10         13              2               0.0001        {(2, 3), (0, 5)}
7            7            15         22              3               0.0001        {(2, 5), (3, 4), (0, 6)}
8            8            3          6               3               0.0000        {(2, 3), (1, 6), (0, 5)}
8            8            7          8               2               0.0000        {(0, 1), (2, 3)}
8            8            14         20              3               0.0001        {(0, 2), (3, 4), (1, 5)}
8            8            21         33              3               0.0002        {(0, 2), (3, 4), (1, 5)}
9            9            4          5               2               0.0000        {(1, 6), (3, 8)}
9            9            9          13              3               0.0001        {(1, 6), (4, 7), (5, 8)}
9            9            18         30              4               0.0002        {(3, 8), (0, 4), (2, 6), (1, 5)}
9            9            27         49              4               0.0003        {(0, 1), (4, 5), (3, 6), (2, 8)}
10           10           5          5               1               0.0000        {(3, 8)}
10           10           11         15              3               0.0001        {(3, 8), (2, 5), (0, 6)}
10           10           22         45              4               0.0002        {(6, 8), (3, 9), (2, 4), (0, 5)}
10           10           33         64              4               0.0004        {(1, 6), (8, 9), (2, 5), (3, 4)}
11           11           6          7               2               0.0000        {(8, 10), (2, 6)}
11           11           13         20              3               0.0001        {(4, 9), (8, 10), (2, 6)}
11           11           27         53              4               0.0003        {(4, 9), (2, 8), (1, 10), (0, 5)}
11           11           41         86              5               0.0005        {(0, 1), (3, 10), (4, 5), (6, 9), (2, 8)}
12           12           8          11              2               0.0001        {(3, 8), (2, 10)}
12           12           16         30              4               0.0002        {(2, 10), (0, 6), (3, 11), (5, 8)}
12           12           33         69              5               0.0004        {(4, 9), (0, 3), (5, 10), (1, 6), (2, 8)}
12           12           49         104             5               0.0006        {(4, 9), (8, 10), (1, 6), (2, 5), (3, 11)}
13           13           9          13              2               0.0001        {(3, 8), (2, 6)}
13           13           19         34              4               0.0002        {(3, 8), (2, 5), (10, 12), (4, 7)}
13           13           39         88              6               0.0005        {(0, 4), (6, 8), (7, 9), (1, 10), (3, 12), (2, 5)}
13           13           58         140             6               0.0009        {(3, 7), (2, 10), (4, 5), (8, 9), (1, 6), (0, 11)}
14           14           11         22              4               0.0001        {(2, 10), (0, 6), (3, 11), (5, 8)}
14           14           22         47              5               0.0002        {(4, 9), (0, 6), (10, 12), (3, 5), (2, 8)}
14           14           45         112             6               0.0006        {(1, 8), (4, 12), (3, 10), (2, 13), (0, 6), (7, 9)}
14           14           68         168             7               0.0012        {(9, 10), (0, 7), (3, 13), (1, 6), (4, 11), (5, 12), (2, 8)}
