N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
5            5            1          1               2               0.0000        (2, 3)
5            5            2          3               10              0.0010        ((0, 1), (2, 3))
5            5            5          6               22              0.0000        ((0, 1), (0, 2))
5            5            7          9               242             0.0000        ((0, 1), (3, 4))
6            6            1          1               2               0.0000        (2, 5)
6            6            3          1               2               0.0000        (0, 5)
6            6            7          9               246             0.0000        ((1, 5), (2, 3))
6            6            11         26              2922            0.0010        ((0, 2), (4, 5))
7            7            2          1               2               0.0000        (0, 5)
7            7            5          6               22              0.0010        ((0, 5), (1, 2))
7            7            10         21              2088            0.0010        ((0, 5), (2, 3))
7            7            15         122             22570           0.0060        ((0, 6), (2, 6), (3, 5))
8            8            3          7               838             0.0000        ((0, 5), (1, 6), (2, 3))
8            8            7          9               236             0.0000        ((0, 3), (1, 6))
8            8            14         92              16032           0.0050        ((0, 6), (2, 3), (5, 7))
8            8            21         235             45868           0.0151        ((0, 1), (1, 5), (2, 4))
9            9            4          5               36              0.0010        ((1, 8), (1, 6))
9            9            9          62              14136           0.0030        ((1, 6), (4, 7), (5, 8))
9            9            18         294             81540           0.0231        ((1, 2), (3, 5), (4, 7))
9            9            27         462             107960          0.0712        ((1, 8), (2, 4), (3, 5))
10           10           5          5               28              0.0000        (3, 8)
10           10           11         13              292             0.0000        ((2, 8), (3, 6))
10           10           22         1145            409698          0.1244        ((2, 5), (3, 4), (6, 9))
10           10           33         5000            1914708         2.7247        None
11           11           6          12              1064            0.0010        ((2, 6), (8, 10))
11           11           13         126             30360           0.0080        ((2, 6), (4, 9), (8, 10))
11           11           27         3368            1314824         1.1932        ((0, 4), (2, 8), (5, 10), (6, 9))
11           11           41         5000            1847116         2.8854        None
12           12           8          9               52              0.0010        ((2, 6), (3, 8))
12           12           16         179             42338           0.0130        ((2, 6), (4, 11), (8, 10))
12           12           33         5000            1913778         2.6535        None
12           12           49         5000            1774796         5.2575        None
13           13           9          25              3112            0.0010        ((2, 11), (8, 10))
